"WeekDate","Site","AEddyDist0","CEddyDist0","Chl0","EKE0","FSLE0","Sal0","SSH0","Temp0","VelAsp0","VelMag0","Md","Zc","Me","Kg","Gg","Dd","Gm","Mb","Pm","Mm"
2017-12-10,"BP",125.665196571429,108.451052428571,0.19021075,106.358431957143,-0.0751992264285714,36.4794142857143,0.198156445285714,24.5754221428571,47.0293866257143,0.676688465,0,0,161,7,0,16,0,0,34,0
2017-12-17,"BP",108.605543714286,149.452860428571,0.194721044285714,42.8540981428571,-0.204015690142857,36.4147914285714,0.181322824385714,24.6759802857143,83.6803784157143,0.434006516285714,0,0,174,6,0,26,7,0,0,1
2017-12-24,"BP",172.320336857143,150.326821,0.196235248571429,84.9138341428571,-0.207323990428571,36.49433,0.189625971271429,24.450352,41.0440271642857,0.257074874714286,0,0,201,11,0,59,1,0,11,0
2017-12-31,"BP",146.21441,112.365713142857,0.199068697142857,28.7961985714286,-0.216162947571429,36.4349142857143,0.0968071694714286,23.76037,41.2426274785714,0.372600209428571,0,0,75,3,0,4,0,0,24,0
2018-01-07,"BP",128.666672571429,133.669365428571,0.201902145714286,216.656855714286,-0.115031888571429,36.4250242857143,0.1303341493,23.353647,124.577881035714,0.568580381142857,0,0,63,9,0,62,0,0,2,0
2018-01-14,"BP",109.203849571429,129.880740714286,0.20678073,109.063132571429,-0.207911574571429,36.3910285714286,0.0860615041428571,23.4834344285714,66.6167890628571,0.513741937285714,0,0,128,2,2,34,0,0,10,0
2018-01-21,"BP",90.5277775714286,128.241282857143,0.248588912857143,102.140948571429,-0.231176882,36.4280457142857,0.149273249585714,23.4971661428571,40.2972409614286,0.558023454285714,2,0,129,5,0,73,0,0,17,0
2018-01-28,"BP",201.849940428571,101.164030285714,0.274888665714286,523.539628571429,-0.123705881571429,36.4466785714286,0.0196334208428571,23.237975,42.9951546228571,0.868559015428572,0,0,119,9,1,7,0,0,3,0
2018-02-04,"BP",170.720879571429,100.284677142857,0.295391668571429,98.7946985714286,-0.170324639571429,36.4809685714286,0.103513367414286,22.8798882857143,58.0277943657143,0.511651588285714,0,0,155,4,0,31,0,0,3,0
2018-02-11,"BP",177.844111571429,95.3016411428572,0.252163091428571,181.625248571429,-0.210205188571429,36.3957142857143,0.104418983714286,23.5771698571429,54.1834234,0.514848119571429,0,0,85,2,0,95,4,0,9,0
