"WeekDate","Site","Chl0","EKE0","FSLE0","SSH0","Temp0","Temp200","Temp400","Temp700","Sal0","Sal200","Sal400","Sal700","VelMag0","VelAsp0","CEddyDist0","AEddyDist0","Md","Zc","Me","Kg","Gg","Mb","Pm","Mm","Gm","Dd"
2016-06-12,"NFC",0.184535475714286,483.450132542857,-0.0309038611428571,-0.620760057142857,23.1980582857143,19.5468165714286,15.5166747142857,14.7947358571429,33.9165942857143,34.2547871428571,34.91835,35.4786685714286,0.196508745,189.554423971429,100.221695714286,232.888183714286,0,2,0,0,10,0,32,2,188,100
2016-06-19,"NFC",0.362590368571429,104.262303057143,-0.0691213591428571,-0.633375585714286,21.0189067142857,17.9580717142857,13.129661,12.3458145714286,33.3642285714286,33.7971042857143,34.4474142857143,34.9167714285714,0.215929348714286,145.2449301,136.714119285714,217.498040285714,0,2,0,0,3,14,74,8,140,222
2016-06-26,"NFC",0.24038383,159.517238457143,-0.0703979822857143,-0.658892942857143,21.6687074285714,16.0472964285714,11.417292,11.8263217142857,32.9763114285714,33.6180514285714,34.3477971428571,34.8589657142857,0.188175783571429,118.695471742857,92.2688592857143,213.367790428571,0,2,0,0,0,6,50,6,210,140
2016-07-03,"NFC",0.249666485714286,213.552395042857,-0.151295472,-0.674247514285714,23.060793,16.4063441428571,11.4946962857143,12.0928535714286,32.6315171428571,33.6786185714286,34.34463,34.8965771428571,0.205675493714286,196.683384257143,32.1907505714286,310.251677142857,0,3,0,0,0,4,17,1,154,125
2016-07-10,"NFC",0.223343354285714,43.2125445857143,-0.0827618752857143,-0.673021571428571,25.3587398571429,16.3084097142857,11.3645094285714,12.231501,32.4645,33.6469471428571,34.2887857142857,35.06223,0.278517926,194.0800553,53.5976734285714,253.416147571429,0,0,0,0,5,2,19,3,112,197
2016-07-17,"NFC",0.32743415,25.4746514142857,-0.0593244984285714,-0.603005242857143,25.2395242857143,14.1439911428571,10.032513,11.5285038571429,32.2588,33.5180871428571,34.1211314285714,34.79681,0.167151702142857,189.080814642857,56.9002758571429,175.229231,0,1,0,0,1,2,42,2,149,152
2016-07-24,"NFC",0.305659424285714,3.71760128571429,-0.0387352648571429,-0.612941428571429,26.6235351428571,14.778555,10.3202221428571,11.496975,32.3594371428571,33.24167,34.0113771428571,34.7309642857143,0.205220912857143,181.3916687,70.9267738571429,209.788220142857,0,5,0,0,0,0,125,0,86,170
2016-07-31,"NFC",0.336170004285714,4.43658015714286,-0.036213236,-0.610616385714286,26.7138102857143,17.8722445714286,11.1475264285714,11.489044,32.4908314285714,33.5477057142857,34.13291,34.7025457142857,0.245350339857143,181.2896885,122.046477857143,231.170382,0,3,0,1,8,12,12,1,180,143
2016-08-07,"NFC",0.318296057142857,274.930477085714,-0.049957503,-0.582979357142857,26.277886,19.1439577142857,11.0146288571429,11.1588494285714,32.3670071428571,33.4621957142857,33.96018,34.4594714285714,0.216580221142857,89.5638834,176.879869142857,163.246623857143,0,3,0,0,4,2,19,0,243,65
2016-08-14,"NFC",0.382945482857143,202.738927014286,-0.0688125487142857,-0.581205342857143,27.3513745714286,23.7975428571429,17.711098,15.585837,32.7764257142857,34.7358228571429,35.2756171428571,35.6802942857143,0.16830246,177.149804685714,115.703758571429,187.715137857143,0,0,0,0,5,15,21,2,168,117
